"Edible","CapShape","CapSurface","CapColor","Bruises","Odor","GillAttachment","GillSpacing","GillSize","GillColor","StalkShape","StalkRoot","StalkSurfaceAboveRing","StalkSurfaceBelowRing","StalkColorAboveRing","StalkColorBelowRing","VeilType","VeilColor","RingNumber","RingType","SporePrintColor","Population","Habitat"
"Edible","Bell","Smooth","Yellow","True","Almond","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Meadows"
"Poisonous","Convex","Scaly","Brown","True","Pungent","Free","Close","Narrow","Brown","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Grasses"
"Edible","Bell","Scaly","Yellow","True","Anise","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Meadows"
"Edible","Bell","Scaly","White","True","Almond","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Meadows"
"Edible","Bell","Smooth","White","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Meadows"
"Poisonous","Flat","Smooth","White","True","Pungent","Free","Close","Narrow","Brown","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Grasses"
"Edible","Convex","Scaly","Yellow","True","Almond","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Meadows"
"Edible","Convex","Scaly","White","True","Anise","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Meadows"
"Edible","Flat","Fibrous","Brown","False","None","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Solitary","Urban"
"Edible","Convex","Smooth","Yellow","True","Almond","Free","Crowded","Narrow","Brown","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Woods"
"Edible","Bell","Smooth","Yellow","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Meadows"
"Poisonous","Convex","Scaly","White","True","Pungent","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Urban"
"Edible","Convex","Scaly","Yellow","True","Anise","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Meadows"
"Edible","Convex","Scaly","Brown","True","Anise","Free","Close","Broad","Pink","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Brown","Solitary","Paths"
"Edible","Bell","Scaly","Yellow","True","Anise","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Meadows"
"Edible","Convex","Fibrous","Yellow","True","Anise","Free","Crowded","Narrow","White","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Woods"
"Edible","Sunken","Fibrous","Gray","False","None","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Several","Urban"
"Poisonous","Convex","Scaly","Brown","True","Pungent","Free","Close","Narrow","White","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Urban"
"Edible","Convex","Fibrous","Yellow","True","Almond","Free","Crowded","Narrow","Pink","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Woods"
"Edible","Bell","Smooth","Yellow","True","Anise","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Meadows"
"Edible","Bell","Scaly","Yellow","True","Almond","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Convex","Scaly","Yellow","True","Anise","Free","Close","Broad","Brown","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Black","Solitary","Paths"
"Edible","Convex","Fibrous","Brown","False","None","Free","Close","Narrow","Gray","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Solitary","Urban"
"Poisonous","Convex","Scaly","White","True","Pungent","Free","Close","Narrow","Pink","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Grasses"
"Edible","Convex","Smooth","Yellow","True","Almond","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Meadows"
"Edible","Convex","Scaly","White","True","Almond","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Grasses"
"Edible","Convex","Scaly","Yellow","True","Anise","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Meadows"
"Edible","Convex","Smooth","White","True","Anise","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Meadows"
"Edible","Convex","Scaly","Yellow","True","Anise","Free","Close","Broad","Brown","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Brown","Scattered","Paths"
"Edible","Flat","Scaly","Yellow","True","Anise","Free","Close","Broad","White","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Black","Scattered","Paths"
"Edible","Convex","Scaly","Brown","True","Almond","Free","Close","Broad","White","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Black","Scattered","Grasses"
"Edible","Convex","Smooth","White","True","Anise","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Grasses"
"Edible","Bell","Smooth","White","True","Anise","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Meadows"
"Poisonous","Convex","Scaly","Brown","True","Pungent","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Urban"
"Poisonous","Convex","Smooth","White","True","Pungent","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Several","Urban"
"Edible","Bell","Scaly","Yellow","True","Almond","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Meadows"
"Edible","Flat","Fibrous","Gray","False","None","Free","Crowded","Broad","Brown","Tapering","Equal","Smooth","Smooth","White","White","Partial","White","One","Evanescent","Brown","Abundnant","Grasses"
"Edible","Bell","Smooth","White","True","Almond","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Grasses"
"Edible","Convex","Smooth","Yellow","True","Anise","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Grasses"
"Edible","Convex","Scaly","Brown","True","Almond","Free","Close","Broad","Pink","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Black","Solitary","Paths"
"Edible","Sunken","Fibrous","Gray","False","None","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Urban"
"Edible","Bell","Scaly","Yellow","True","Almond","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Meadows"
"Edible","Bell","Smooth","Yellow","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Meadows"
"Edible","Bell","Scaly","Yellow","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Meadows"
"Edible","Bell","Scaly","White","True","Anise","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Flat","Smooth","Brown","False","None","Free","Crowded","Broad","Black","Tapering","Equal","Smooth","Smooth","White","White","Partial","White","One","Evanescent","Black","Abundnant","Grasses"
"Edible","Convex","Smooth","White","True","Anise","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Grasses"
"Edible","Flat","Scaly","Yellow","True","Almond","Free","Close","Broad","White","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Convex","Scaly","Yellow","True","Almond","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Grasses"
"Edible","Convex","Fibrous","Gray","False","None","Free","Close","Narrow","Pink","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Urban"
"Edible","Flat","Fibrous","Yellow","True","Anise","Free","Crowded","Narrow","Pink","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Woods"
"Edible","Bell","Scaly","White","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Meadows"
"Edible","Flat","Fibrous","Yellow","True","Anise","Free","Crowded","Narrow","White","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Woods"
"Edible","Convex","Scaly","Brown","True","Almond","Free","Close","Broad","Pink","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Black","Scattered","Paths"
"Edible","Bell","Smooth","Yellow","True","Almond","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Grasses"
"Edible","Flat","Smooth","Yellow","True","Anise","Free","Crowded","Narrow","Pink","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Woods"
"Edible","Convex","Smooth","White","True","Anise","Free","Crowded","Narrow","Brown","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Purple","Several","Woods"
"Edible","Flat","Scaly","Brown","True","Anise","Free","Close","Broad","Pink","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Brown","Solitary","Paths"
"Poisonous","Convex","Scaly","Brown","True","Pungent","Free","Close","Narrow","White","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Urban"
"Edible","Flat","Scaly","Brown","True","Almond","Free","Close","Broad","Brown","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Brown","Solitary","Grasses"
"Edible","Convex","Smooth","Brown","False","None","Free","Crowded","Broad","Black","Tapering","Equal","Fibrous","Smooth","White","White","Partial","White","One","Evanescent","Brown","Scattered","Grasses"
"Poisonous","Convex","Scaly","White","True","Pungent","Free","Close","Narrow","White","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Grasses"
"Edible","Flat","Fibrous","Gray","False","None","Free","Close","Narrow","Brown","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Solitary","Urban"
"Edible","Convex","Fibrous","Gray","False","None","Free","Crowded","Broad","Brown","Tapering","Equal","Smooth","Smooth","White","White","Partial","White","One","Evanescent","Brown","Scattered","Grasses"
"Edible","Convex","Scaly","Yellow","True","Anise","Free","Close","Broad","White","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Black","Scattered","Grasses"
"Edible","Convex","Smooth","Brown","False","None","Free","Crowded","Broad","Black","Tapering","Equal","Smooth","Smooth","White","White","Partial","White","One","Evanescent","Black","Scattered","Grasses"
"Edible","Bell","Smooth","White","True","Almond","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Grasses"
"Edible","Convex","Smooth","White","True","Anise","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Flat","Scaly","Brown","True","Anise","Free","Close","Broad","White","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Black","Solitary","Grasses"
"Edible","Sunken","Fibrous","Brown","False","None","Free","Close","Narrow","Brown","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Urban"
"Edible","Convex","Fibrous","Brown","False","None","Free","Close","Narrow","Brown","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Solitary","Urban"
"Edible","Bell","Smooth","White","True","Anise","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Grasses"
"Edible","Convex","Scaly","Yellow","True","Almond","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Grasses"
"Edible","Convex","Scaly","Yellow","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Meadows"
"Edible","Convex","Smooth","Brown","False","None","Free","Crowded","Broad","Brown","Tapering","Equal","Smooth","Smooth","White","White","Partial","White","One","Evanescent","Brown","Abundnant","Grasses"
"Edible","Convex","Smooth","White","True","Almond","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Flat","Scaly","Brown","True","Anise","Free","Close","Broad","Pink","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Convex","Smooth","Yellow","True","Almond","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Grasses"
"Edible","Bell","Smooth","White","True","Almond","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Convex","Scaly","White","True","Almond","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Grasses"
"Edible","Convex","Fibrous","Brown","False","None","Free","Crowded","Broad","Pink","Tapering","Equal","Fibrous","Smooth","White","White","Partial","White","One","Evanescent","Black","Scattered","Grasses"
"Edible","Bell","Smooth","Yellow","True","Anise","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Grasses"
"Edible","Flat","Scaly","Yellow","True","Anise","Free","Close","Broad","White","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Convex","Scaly","Yellow","True","Almond","Free","Close","Broad","Brown","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Black","Solitary","Paths"
"Edible","Bell","Scaly","White","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Grasses"
"Edible","Convex","Scaly","Yellow","True","Almond","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Meadows"
"Edible","Convex","Scaly","Yellow","True","Almond","Free","Close","Broad","White","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Brown","Solitary","Grasses"
"Edible","Bell","Scaly","White","True","Anise","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Meadows"
"Edible","Bell","Scaly","White","True","Almond","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Meadows"
"Edible","Convex","Smooth","Yellow","True","Almond","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Meadows"
"Edible","Convex","Smooth","Yellow","True","Anise","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Grasses"
"Edible","Sunken","Fibrous","Gray","False","None","Free","Close","Narrow","Gray","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Solitary","Urban"
"Edible","Convex","Fibrous","White","True","Almond","Free","Crowded","Narrow","White","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Purple","Several","Woods"
"Edible","Convex","Smooth","Yellow","True","Almond","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Meadows"
"Poisonous","Convex","Scaly","White","True","Pungent","Free","Close","Narrow","Brown","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Urban"
"Edible","Convex","Scaly","Yellow","True","Anise","Free","Close","Broad","Pink","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Sunken","Fibrous","Gray","False","None","Free","Close","Narrow","Pink","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Solitary","Urban"
"Edible","Convex","Scaly","Yellow","True","Anise","Free","Close","Broad","White","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Black","Solitary","Grasses"
"Edible","Convex","Smooth","Yellow","True","Anise","Free","Crowded","Narrow","Pink","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Purple","Several","Woods"
"Edible","Sunken","Fibrous","Brown","False","None","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Solitary","Urban"
"Poisonous","Convex","Smooth","White","True","Pungent","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Several","Grasses"
"Edible","Convex","Scaly","White","True","Almond","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Meadows"
"Poisonous","Flat","Scaly","Brown","True","Pungent","Free","Close","Narrow","Pink","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Several","Grasses"
"Edible","Flat","Smooth","Gray","False","None","Free","Crowded","Broad","Black","Tapering","Equal","Smooth","Smooth","White","White","Partial","White","One","Evanescent","Brown","Abundnant","Grasses"
"Edible","Convex","Smooth","Yellow","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Meadows"
"Edible","Convex","Smooth","White","False","None","Free","Crowded","Broad","Brown","Tapering","Equal","Smooth","Fibrous","White","White","Partial","White","One","Evanescent","Black","Scattered","Grasses"
"Edible","Bell","Smooth","Yellow","True","Almond","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Grasses"
"Edible","Flat","Fibrous","Gray","False","None","Free","Crowded","Broad","Chocolate","Tapering","Equal","Smooth","Smooth","White","White","Partial","White","One","Evanescent","Brown","Abundnant","Grasses"
"Edible","Convex","Smooth","White","True","Anise","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Grasses"
"Edible","Bell","Smooth","White","True","Anise","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Meadows"
"Edible","Bell","Smooth","White","True","Anise","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Bell","Scaly","White","True","Anise","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Meadows"
"Edible","Flat","Smooth","White","True","Anise","Free","Crowded","Narrow","White","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Purple","Several","Woods"
"Edible","Convex","Scaly","Yellow","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Meadows"
"Edible","Flat","Smooth","White","True","Almond","Free","Crowded","Narrow","Pink","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Woods"
"Poisonous","Convex","Scaly","White","True","Pungent","Free","Close","Narrow","White","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Urban"
"Edible","Flat","Fibrous","White","True","Anise","Free","Crowded","Narrow","White","Tapering","Bulbous","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Woods"
"Edible","Convex","Scaly","Yellow","True","Almond","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Poisonous","Convex","Smooth","Brown","True","Pungent","Free","Close","Narrow","Pink","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Grasses"
"Edible","Bell","Smooth","Yellow","True","Anise","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Grasses"
"Edible","Convex","Scaly","Brown","True","Almond","Free","Close","Broad","White","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Black","Solitary","Paths"
"Edible","Bell","Scaly","Yellow","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Meadows"
"Edible","Sunken","Fibrous","Brown","False","None","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Urban"
"Edible","Flat","Scaly","Brown","True","Almond","Free","Close","Broad","White","Enlarging","Rooted","Smooth","Scaly","White","White","Partial","White","One","Pendant","Black","Solitary","Paths"
"Edible","Convex","Scaly","Yellow","True","Almond","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Grasses"
"Edible","Convex","Fibrous","Gray","False","None","Free","Crowded","Broad","Black","Tapering","Equal","Fibrous","Fibrous","White","White","Partial","White","One","Evanescent","Black","Scattered","Grasses"
"Edible","Flat","Fibrous","White","False","None","Free","Crowded","Broad","Black","Tapering","Equal","Smooth","Fibrous","White","White","Partial","White","One","Evanescent","Brown","Abundnant","Grasses"
"Edible","Convex","Scaly","Yellow","True","Anise","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Meadows"
"Edible","Bell","Smooth","Yellow","True","Anise","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Grasses"
"Edible","Bell","Scaly","White","True","Almond","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Meadows"
"Edible","Convex","Scaly","White","True","Almond","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Convex","Smooth","Brown","False","None","Free","Crowded","Broad","Pink","Tapering","Equal","Fibrous","Smooth","White","White","Partial","White","One","Evanescent","Brown","Abundnant","Grasses"
"Edible","Convex","Scaly","White","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Edible","Sunken","Fibrous","Brown","False","None","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Several","Urban"
